Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
12/1/2018, 12:00:00 PM;20.885;12/1/2018, 12:00:00 PM;0;12/1/2018, 12:00:00 PM;4.165;12/1/2018, 12:00:00 PM;0.575
12/2/2018, 12:00:00 PM;18.72;12/2/2018, 12:00:00 PM;0;12/2/2018, 12:00:00 PM;2.68;12/2/2018, 12:00:00 PM;2.5
12/3/2018, 12:00:00 PM;19.7;12/3/2018, 12:00:00 PM;0;12/3/2018, 12:00:00 PM;2.46;12/3/2018, 12:00:00 PM;1.74
12/4/2018, 12:00:00 PM;18.2;12/4/2018, 12:00:00 PM;0;12/4/2018, 12:00:00 PM;4.5;12/4/2018, 12:00:00 PM;1.12
12/5/2018, 12:00:00 PM;14.64;12/5/2018, 12:00:00 PM;0;12/5/2018, 12:00:00 PM;7.44;12/5/2018, 12:00:00 PM;1.68
12/6/2018, 12:00:00 PM;19.3;12/6/2018, 12:00:00 PM;0;12/6/2018, 12:00:00 PM;2.46;12/6/2018, 12:00:00 PM;2.12
12/7/2018, 12:00:00 PM;17.7;12/7/2018, 12:00:00 PM;0;12/7/2018, 12:00:00 PM;3.96;12/7/2018, 12:00:00 PM;2.22
12/8/2018, 12:00:00 PM;15.24;12/8/2018, 12:00:00 PM;0;12/8/2018, 12:00:00 PM;7.5;12/8/2018, 12:00:00 PM;1.04
12/9/2018, 12:00:00 PM;19.4;12/9/2018, 12:00:00 PM;0;12/9/2018, 12:00:00 PM;3.56;12/9/2018, 12:00:00 PM;0.9
12/10/2018, 12:00:00 PM;14.12;12/10/2018, 12:00:00 PM;0;12/10/2018, 12:00:00 PM;7.48;12/10/2018, 12:00:00 PM;2.16
12/11/2018, 12:00:00 PM;17.96;12/11/2018, 12:00:00 PM;0;12/11/2018, 12:00:00 PM;8.84;12/11/2018, 12:00:00 PM;0.98
12/12/2018, 12:00:00 PM;11.66;12/12/2018, 12:00:00 PM;0;12/12/2018, 12:00:00 PM;8.3;12/12/2018, 12:00:00 PM;3.8
12/13/2018, 12:00:00 PM;14.74;12/13/2018, 12:00:00 PM;0;12/13/2018, 12:00:00 PM;8.16;12/13/2018, 12:00:00 PM;0.86
12/14/2018, 12:00:00 PM;9.455;12/14/2018, 12:00:00 PM;0;12/14/2018, 12:00:00 PM;6.665;12/14/2018, 12:00:00 PM;2.294
12/15/2018, 12:00:00 PM;16;12/15/2018, 12:00:00 PM;0;12/15/2018, 12:00:00 PM;12.28;12/15/2018, 12:00:00 PM;1.4
12/16/2018, 12:00:00 PM;12.54;12/16/2018, 12:00:00 PM;0;12/16/2018, 12:00:00 PM;9.9;12/16/2018, 12:00:00 PM;1.3
12/17/2018, 12:00:00 PM;14.18;12/17/2018, 12:00:00 PM;0;12/17/2018, 12:00:00 PM;6.7;12/17/2018, 12:00:00 PM;2.86
12/18/2018, 12:00:00 PM;18.18;12/18/2018, 12:00:00 PM;0;12/18/2018, 12:00:00 PM;4.54;12/18/2018, 12:00:00 PM;1.14
12/19/2018, 12:00:00 PM;14.92;12/19/2018, 12:00:00 PM;0;12/19/2018, 12:00:00 PM;4.74;12/19/2018, 12:00:00 PM;4.12
12/20/2018, 12:00:00 PM;17.56;12/20/2018, 12:00:00 PM;0;12/20/2018, 12:00:00 PM;6.24;12/20/2018, 12:00:00 PM;0
12/21/2018, 12:00:00 PM;17.82;12/21/2018, 12:00:00 PM;0;12/21/2018, 12:00:00 PM;4.82;12/21/2018, 12:00:00 PM;1.2
12/22/2018, 12:00:00 PM;18.614;12/22/2018, 12:00:00 PM;0;12/22/2018, 12:00:00 PM;4.174;12/22/2018, 12:00:00 PM;1.23
12/23/2018, 12:00:00 PM;18.06;12/23/2018, 12:00:00 PM;0;12/23/2018, 12:00:00 PM;4.42;12/23/2018, 12:00:00 PM;1.36
12/24/2018, 12:00:00 PM;18.36;12/24/2018, 12:00:00 PM;0;12/24/2018, 12:00:00 PM;3.98;12/24/2018, 12:00:00 PM;1.52
12/25/2018, 12:00:00 PM;15.62;12/25/2018, 12:00:00 PM;0;12/25/2018, 12:00:00 PM;6.86;12/25/2018, 12:00:00 PM;1.28
12/26/2018, 12:00:00 PM;15.32;12/26/2018, 12:00:00 PM;0;12/26/2018, 12:00:00 PM;7.18;12/26/2018, 12:00:00 PM;1.28
12/27/2018, 12:00:00 PM;13.566;12/27/2018, 12:00:00 PM;0;12/27/2018, 12:00:00 PM;8.112;12/27/2018, 12:00:00 PM;1.884
12/28/2018, 12:00:00 PM;11.96;12/28/2018, 12:00:00 PM;0;12/28/2018, 12:00:00 PM;9.04;12/28/2018, 12:00:00 PM;2.72
12/29/2018, 12:00:00 PM;15.28;12/29/2018, 12:00:00 PM;0;12/29/2018, 12:00:00 PM;5.78;12/29/2018, 12:00:00 PM;2.72
12/30/2018, 12:00:00 PM;18.74;12/30/2018, 12:00:00 PM;0;12/30/2018, 12:00:00 PM;3.54;12/30/2018, 12:00:00 PM;1.6
12/31/2018, 12:00:00 PM;16.96;12/31/2018, 12:00:00 PM;0;12/31/2018, 12:00:00 PM;5.46;12/31/2018, 12:00:00 PM;1.42
1/1/2019, 12:00:00 PM;14.74;1/1/2019, 12:00:00 PM;0;1/1/2019, 12:00:00 PM;6;1/1/2019, 12:00:00 PM;1.04
1/2/2019, 12:00:00 PM;0.316;1/2/2019, 12:00:00 PM;0;1/2/2019, 12:00:00 PM;0.147;1/2/2019, 12:00:00 PM;0
1/3/2019, 12:00:00 PM;15.52;1/3/2019, 12:00:00 PM;0;1/3/2019, 12:00:00 PM;7.72;1/3/2019, 12:00:00 PM;0.54
1/4/2019, 12:00:00 PM;15.52;1/4/2019, 12:00:00 PM;0;1/4/2019, 12:00:00 PM;8.26;1/4/2019, 12:00:00 PM;0
1/5/2019, 12:00:00 PM;17.38;1/5/2019, 12:00:00 PM;0;1/5/2019, 12:00:00 PM;5.66;1/5/2019, 12:00:00 PM;0.76
1/6/2019, 12:00:00 PM;14.36;1/6/2019, 12:00:00 PM;0;1/6/2019, 12:00:00 PM;5.74;1/6/2019, 12:00:00 PM;5.68
1/7/2019, 12:00:00 PM;17.44;1/7/2019, 12:00:00 PM;0;1/7/2019, 12:00:00 PM;5.92;1/7/2019, 12:00:00 PM;0.42
