Date Time;Expansion valve;Date Time;Current consumption C1
11/19/2018, 1:59:00 AM;295;11/19/2018, 1:59:00 AM;3.7
11/19/2018, 4:00:00 AM;278;11/19/2018, 4:00:00 AM;3.7
11/19/2018, 6:00:00 AM;293;11/19/2018, 6:00:00 AM;3.8
11/19/2018, 8:01:00 AM;299;11/19/2018, 8:01:00 AM;3.8
11/19/2018, 10:00:00 AM;283;11/19/2018, 10:00:00 AM;3.8
11/19/2018, 12:00:00 PM;293;11/19/2018, 12:00:00 PM;3.8
11/19/2018, 2:00:00 PM;307;11/19/2018, 2:00:00 PM;3.7
11/19/2018, 4:00:00 PM;285;11/19/2018, 4:00:00 PM;3.8
11/19/2018, 6:00:00 PM;297;11/19/2018, 6:00:00 PM;3.6
11/19/2018, 8:00:00 PM;306;11/19/2018, 8:00:00 PM;3.7
11/19/2018, 10:00:00 PM;287;11/19/2018, 10:00:00 PM;3.8
11/20/2018, 12:00:00 AM;295;11/20/2018, 12:00:00 AM;3.8
11/20/2018, 2:00:00 AM;224;11/20/2018, 2:00:00 AM;5.2
11/20/2018, 4:00:00 AM;285;11/20/2018, 4:00:00 AM;3.8
11/20/2018, 6:00:00 AM;288;11/20/2018, 6:00:00 AM;3.8
11/20/2018, 10:00:00 AM;294;11/20/2018, 10:00:00 AM;3.8
11/20/2018, 12:00:00 PM;290;11/20/2018, 12:00:00 PM;3.8
11/20/2018, 2:00:00 PM;273;11/20/2018, 2:00:00 PM;3.8
11/20/2018, 4:00:00 PM;295;11/20/2018, 4:00:00 PM;3.8
11/20/2018, 6:00:00 PM;291;11/20/2018, 6:00:00 PM;3.7
11/20/2018, 8:00:00 PM;280;11/20/2018, 8:00:00 PM;3.6
11/20/2018, 10:00:00 PM;294;11/20/2018, 10:00:00 PM;3.8
11/21/2018, 12:00:00 AM;291;11/21/2018, 12:00:00 AM;3.7
11/21/2018, 2:00:00 AM;228;11/21/2018, 2:00:00 AM;5.1
11/21/2018, 4:00:00 AM;279;11/21/2018, 4:00:00 AM;3.8
