Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
9/22/2018, 2:00:00 AM;50.2;11/8/2018, 6:00:00 AM;28.1;9/22/2018, 2:00:00 AM;37.1;11/8/2018, 6:00:00 AM;4.3;9/22/2018, 2:00:00 AM;5.6;;;;
9/22/2018, 4:00:00 AM;74.6;11/8/2018, 10:00:00 AM;27.9;9/22/2018, 4:00:00 AM;53.9;11/8/2018, 10:00:00 AM;4.8;9/22/2018, 4:00:00 AM;6.5;;;;
9/23/2018, 2:00:00 AM;52.2;11/9/2018, 2:00:00 AM;26;9/23/2018, 2:00:00 AM;38.9;11/9/2018, 2:00:00 AM;4.3;9/23/2018, 2:00:00 AM;5.6;;;;
9/23/2018, 4:00:00 AM;76.6;11/9/2018, 4:00:00 AM;28.2;9/23/2018, 4:00:00 AM;55.1;11/9/2018, 4:00:00 AM;3.8;9/23/2018, 4:00:00 AM;6.3;;;;
9/23/2018, 6:00:00 PM;45.2;11/9/2018, 2:00:00 PM;25.1;9/23/2018, 6:00:00 PM;32.1;11/9/2018, 2:00:00 PM;5.2;9/23/2018, 6:00:00 PM;5.2;;;;
9/23/2018, 8:00:00 PM;68.4;11/9/2018, 4:00:00 PM;28.4;9/23/2018, 8:00:00 PM;50;11/9/2018, 4:00:00 PM;4.8;9/23/2018, 8:00:00 PM;5.9;;;;
9/23/2018, 10:00:00 PM;49.8;11/9/2018, 10:00:00 PM;22.2;9/24/2018, 2:00:00 AM;54;11/9/2018, 10:00:00 PM;5;9/24/2018, 2:00:00 AM;6.9;;;;
9/24/2018, 2:00:00 AM;63.2;11/10/2018, 12:00:00 AM;27.7;9/25/2018, 2:00:00 AM;32.7;11/10/2018, 12:00:00 AM;4.7;9/25/2018, 2:00:00 AM;5.1;;;;
9/24/2018, 4:00:00 AM;49.5;11/10/2018, 4:00:00 AM;27.6;9/25/2018, 4:00:00 AM;50.9;11/10/2018, 4:00:00 AM;4.6;9/25/2018, 4:00:00 AM;5.8;;;;
9/24/2018, 6:00:00 AM;31.8;11/11/2018, 12:00:00 AM;27;9/26/2018, 2:00:00 AM;50.8;11/11/2018, 12:00:00 AM;4.8;9/26/2018, 2:00:00 AM;6.6;;;;
9/24/2018, 8:00:00 AM;45.2;11/11/2018, 4:00:00 AM;26.8;9/26/2018, 4:00:00 AM;60;11/11/2018, 4:00:00 AM;4.5;9/26/2018, 4:00:00 AM;6.3;;;;
9/25/2018, 2:00:00 AM;46.4;11/11/2018, 6:00:00 AM;28.8;9/28/2018, 2:00:00 AM;47.8;11/11/2018, 6:00:00 AM;4;9/28/2018, 2:00:00 AM;6.4;;;;
9/25/2018, 4:00:00 AM;71.2;11/11/2018, 8:00:00 PM;27.2;9/28/2018, 4:00:00 AM;59.3;11/11/2018, 8:00:00 PM;4.8;9/28/2018, 4:00:00 AM;6.6;;;;
9/26/2018, 2:00:00 AM;66.7;11/12/2018, 12:00:00 AM;27.5;9/29/2018, 2:00:00 AM;52.7;11/12/2018, 12:00:00 AM;4.9;9/29/2018, 2:00:00 AM;6.7;;;;
9/26/2018, 4:00:00 AM;86.1;11/12/2018, 2:00:00 AM;28.4;9/30/2018, 2:00:00 AM;32.8;11/12/2018, 2:00:00 AM;4.3;9/30/2018, 2:00:00 AM;5.1;;;;
9/28/2018, 2:00:00 AM;62.5;11/12/2018, 4:00:00 AM;27.5;9/30/2018, 4:00:00 AM;51;11/12/2018, 4:00:00 AM;4.7;9/30/2018, 4:00:00 AM;5.7;;;;
9/28/2018, 4:00:00 AM;83.4;11/12/2018, 6:00:00 AM;29;10/1/2018, 2:00:00 AM;50.1;11/12/2018, 6:00:00 AM;4;10/1/2018, 2:00:00 AM;6.4;;;;
9/29/2018, 2:00:00 AM;68.7;11/12/2018, 12:00:00 PM;26.7;10/1/2018, 4:00:00 AM;60.1;11/12/2018, 12:00:00 PM;5;10/1/2018, 4:00:00 AM;6.3;;;;
9/29/2018, 6:00:00 AM;47.1;11/12/2018, 2:00:00 PM;28.5;10/2/2018, 2:00:00 AM;49.4;11/12/2018, 2:00:00 PM;4.3;10/2/2018, 2:00:00 AM;6.4;;;;
9/29/2018, 4:00:00 PM;41.5;11/12/2018, 4:00:00 PM;27.7;10/2/2018, 4:00:00 AM;59.5;11/12/2018, 4:00:00 PM;4.7;10/2/2018, 4:00:00 AM;6.4;;;;
9/29/2018, 6:00:00 PM;45.5;11/12/2018, 6:00:00 PM;28.8;10/3/2018, 2:00:00 AM;44.9;11/12/2018, 6:00:00 PM;4;10/3/2018, 2:00:00 AM;5.9;;;;
